Département,Date de mise en service,Nom de la voie,Sens de circulation,Nombre de dossiers d'infractions
11,09/07/2005,RD32,GRUISSAN VERS NARBONNE,794
11,15/07/2005,RD32,NARBONNE VERS GRUISSAN,870
11,27/03/2009,RD6009,PERPIGNAN vers NARBONNE,7489
11,08/10/2009,RD118,QUILLAN vers CARCASSONNE,762
11,21/01/2011,"Face au n°18, avenue du Général LECLERC",Toulouse vers Narbonne,4228
11,13/04/2012,RD118,Carcassonne vers Limoux,3592
11,24/04/2012,RD6113,CASTELNAUDARY vers TOULOUSE,4211
11,19/12/2012,RD5,CARCASSONNE vers BEZIERS,20000
12,15/10/2004,RD840,RODEZ vers DECAZEVILLE,5208
12,01/12/2004,RD992,ST AFFRIQUE VERS MILLAU,427
12,09/12/2004,RD920,ESPALION VERS RODEZ,201
12,10/10/2005,RD911,MILLAU VERS PONT DE SALARS,670
12,12/06/2006,RD1,VILLEFRANCHE DE ROUERGUE vers RODEZ,3306
12,23/02/2007,RD920,ENTRAYGUES SUR TRUYERE vers ESPALION,1147
12,18/05/2007,RD911,RIEUPEYROUX vers BARAQUEVILLE,1942
12,11/06/2007,RN88,LAISSAC SEVERAC L EGLISE vers SEVERAC D AVEYRON,3773
12,08/06/2011,RD994,RODEZ vers RIGNAC,5595
12,28/09/2011,RD911,BARAQUEVILLE vers RIEUPEYROUX,1828
12,29/12/2011,RD999,MILLAU vers ST AFFRIQUE,916
12,12/08/2013,RD992,MILLAU vers ST GEORGES DE LUZENCON,366
13,23/12/2003,A7,LYON VERS MARSEILLE,21185
13,23/09/2004,A51,MARSEILLE vers AIX EN PROVENCE,50083
13,23/09/2004,A55,MARTIGUES vers MARSEILLE,23488
13,23/09/2004,A55,MARTIGUES vers MARSEILLE,18119
13,28/09/2004,A7,LYON vers MARSEILLE,9130
13,16/08/2005,RD368,AIX EN PROVENCE VERS MARTIGUES,209
13,16/08/2005,RD99,TARASCON vers CAVAILLON,3660
13,29/09/2005,RD7N,AVIGNON VERS SALON DE PROVENCE,1080
13,15/10/2005,RN568,ARLES vers FOS SUR MER,31
13,15/10/2005,RD99,CAVAILLON vers TARASCON,3053
13,15/10/2005,A50,AUBAGNE VERS MARSEILLE,3806
13,25/10/2005,RD556,AIX EN PROVENCE VERS PERTUIS,1034
13,11/04/2006,RD7N,ST CANNAT vers AIX EN PROVENCE,4652
13,27/06/2006,RD113,LA FARE LES OLIVIERS vers ROGNAC,3641
13,06/07/2006,RN113,SALON DE PROVENCE VERS NIMES,47826
13,05/03/2007,A7,MARSEILLE vers LYON,2990
13,29/06/2007,RN568,ARLES vers MARTIGUES,4542
13,05/10/2007,A55,Marseille vers Fos sur mer,26826
13,12/09/2008,RD96,MEYRARGUES VERS MANOSQUE,8643
13,04/12/2008,RD7N,ST MAXIMIN VERS AIX EN PROVENCE,562
13,02/01/2009,"Boulevard de Saint-Loup, face au n°219",Aubagne vers Marseille,9419
13,13/02/2009,RD538,SENAS vers SALON DE PROVENCE,4957
13,25/02/2009,RN568,FOS SUR MER VERS ARLES,82
13,09/03/2009,RD570N,AVIGNON VERS ARLES,2058
13,06/04/2009,A51,Aix en Provence vers Marseille,37638
13,27/01/2014,Tunnel de la Joliette,FOS SUR MER vers MARSEILLE,47340
14,01/12/2003,RN814,PARIS VERS CHERBOURG OCTEVILLE,8057
14,04/05/2005,RN814,CHERBOURG OCTEVILLE VERS PARIS,15711
14,01/03/2006,RD515,OUISTREHAM VERS CAEN,4671
14,30/03/2006,RN158,FALAISE VERS CAEN,3577
14,13/03/2007,RN13,CHERBOURG OCTEVILLE VERS CAEN,2379
14,05/10/2007,A84,CAEN VERS RENNES,11438
14,03/12/2007,RD513,CABOURG vers CAEN,3608
14,14/01/2008,RD9,TILLY SUR SEULLES VERS CARPIQUET,891
14,19/01/2008,RD511,PONT D OUILLY VERS FALAISE,1850
14,22/02/2008,RD562,CONDE SUR NOIREAU VERS CAEN,3362
14,12/03/2008,RD677,DEAUVILLE vers PONT L EVEQUE,11152
14,25/11/2008,RD572,ST LO vers BAYEUX,4928
14,10/12/2008,RD524,ST SEVER vers VIRE,773
14,16/12/2008,RD524,VIRE NORMANDIE vers FLERS,623
14,19/12/2008,RD6,LES MONTS D AUNAY vers VILLERS BOCAGE,308
14,04/12/2009,RD613,LISIEUX vers EVREUX,1902
14,10/12/2010,RD577,CAEN vers VIRE,718
14,20/01/2011,RN13,BAYEUX vers CAEN,15489
14,26/01/2011,RD512,CONDE SUR NOIREAU vers VALDALLIERE,1289
14,15/02/2011,RD519,LISIEUX vers ORBEC,2619
14,16/02/2011,RD579,PONT l'EVEQUE vers LISIEUX,2792
14,24/02/2011,RD675,PONT L EVEQUE vers DOZULE,2763
14,10/03/2011,RD511,Falaise vers St Pierre sur Dives,613
14,11/04/2011,RD27,VARAVILLE vers DIVES SUR MER,2098
14,03/02/2014,RD613,PARIS vers LISIEUX,14223
15,15/12/2004,RN122,MAURS vers AURILLAC,98
15,16/03/2005,RD120,MONTVERT vers AURILLAC,1240
15,17/06/2005,RN122,MASSIAC vers AURILLAC,2928
15,06/03/2007,RN122,AURILLAC VERS MOISSAC,798
15,30/01/2009,RD922,BORT LES ORGUES VERS CLERMONT FERRAND,70
15,03/12/2009,RN122,VIC SUR CERE vers AURILLAC,1397
15,09/09/2010,RD17,ST SIMON vers AURILLAC,818
15,25/02/2011,RD922,YDES vers MAURIAC,139
